,school,policy_details,number_of_applicants,accept_rate,test_optional?_No,test_optional?_Yes,test_optional?_Yes (TB),test_optional?_Yes (TF),test_optional?_Yes*,years_applicable_from_2021,sat_25th_percentile,sat_75th_percentile,act_25th_percentile,act_75th_percentile
280,University of Akron,The University of Akron has adopted a test optional policy for first year applicants both domestic and international in the 2020-21 admission cycle.,14553,0.73,0,1,0,0,0,1,990.0,1230.0,19.0,25.0
281,St. John's University (NY),St. John's University offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores. However homeschooled students some international students students applying for several specific majors and prospective student athletes are not eligible for test optional admission.,27276,0.731,0,1,0,0,0,100,1070.0,1270.0,23.0,29.0
282,University of Cincinnati,The University of Cincinnati has adopted a two-year test optional policy beginning with the 2020-2021 admission cycle. However standardized test scores are still required for admission into some programs.,23296,0.731,0,1,0,0,0,2,1160.0,1370.0,24.0,29.0
283,Simmons University,Simmons University State has adopted a one-year test optional policy for first-year and transfer applicants both domestic and international in the 2020-21 admission cycle.,2933,0.731,0,1,0,0,0,1,1110.0,1290.0,23.0,29.0
284,Wayne State University,WSU has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,15716,0.731,0,1,0,0,0,1,1010.0,1230.0,21.0,27.0
285,Butler University,Butler University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However applicants who major in Pre-Pharmacy Health Sciences and Healthcare and Business programs students who attend secondary schools that do not provide letter grades homeschooled students and transfer applicants who have completed fewer than 20 college credits are not eligible for test optional admission.,14891,0.732,0,1,0,0,0,100,1150.0,1330.0,24.0,30.0
286,Point Loma Nazarene University,PLNU has adopted a one-year test optional policy for Fall 2021 applicants.,3277,0.737,0,1,0,0,0,1,1140.0,1310.0,24.0,29.0
287,University of North Texas,University of North Texas requires either the SAT or ACT. However they will waive this requirement for students with a 3.0+ GPA. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,21540,0.737,0,0,0,0,1,1,1060.0,1250.0,20.0,26.0
288,University of North Georgia,The University System of Georgia has adopted a one-year test optional policy for first year applicants both domestic and international applying in the 2020-21 admission cycle.,6498,0.737,0,1,0,0,0,1,1108.0,1273.0,22.0,27.0
289,Xavier University,Xavier University offers a test optional policy which allows students to be considered for admission without test scores. However homeschooled students are not eligible for test optional admission.,15100,0.738,0,1,0,0,0,100,1070.0,1250.0,22.0,28.0
290,Wheaton College (MA),Wheaton College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However Wheaton encourages students whose first language is not English to submit their SAT or ACT scores along with the required English proficiency testing.,3460,0.7390000000000001,0,1,0,0,0,100,1150.0,1340.0,27.0,32.0
291,Eastern Michigan,Eastern Michigan University has adopted a one-year test optional policy for students with a 2.5+ GPA applying in the 2020-21 admission cycle.,14323,0.741,0,0,0,0,1,1,970.0,1190.0,19.0,25.0
292,University of Washington--Bothell,The University of Washington--Bothell has adopted a one-year test optional policy for firstyear applicants both domestic and international in the 2020-21 admission cycle.,4242,0.741,0,1,0,0,0,1,1038.0,1250.0,19.0,28.0
293,Adelphi University,Adelphi University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,13006,0.742,0,1,0,0,0,1,1080.0,1270.0,22.0,27.0
294,Baldwin Wallace University,Baldwin Wallace University offers a test optional policy which allows students to be considered for admission without test scores. However home schooled students are not eligible for test optional admission.,3926,0.742,0,1,0,0,0,100,1030.0,1250.0,21.0,27.0
295,Michigan Technological University,Michigan Technological University has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. However homeschooled students and students applying for merit scholarships must submit test scores.,5978,0.743,0,1,0,0,0,1,1170.0,1370.0,25.0,30.0
296,Drexel University,Drexel University has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,31824,0.747,0,1,0,0,0,1,1190.0,1390.0,25.0,31.0
297,University of Redlands,University of Redlands offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,4713,0.75,0,1,0,0,0,100,1100.0,1250.0,23.0,28.0
298,Loyola University New Orleans,Starting with the Fall 2021 application cycle Loyola will not require a standardized test score for its university admission application and will not consider a test score should a student choose to submit.,5857,0.75,0,0,1,0,0,100,1050.0,1260.0,22.0,28.0
299,California State University--Monterey Bay,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,12327,0.753,0,0,1,0,0,1,960.0,1170.0,17.0,23.0
300,Whittier College,Whittier College offers a test optional policy which allows students to be considered for admission without test scores. Students with a GPA below 3.0 may be asked to submit standardized test scores.,6220,0.759,0,0,0,0,1,100,1030.0,1213.0,20.0,25.0
301,Kalamazoo College,Kalamazoo College offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,3576,0.76,0,1,0,0,0,100,1170.0,1370.0,25.0,31.0
302,Towson University,Towson has adopted a one-year test optional policy for applicants for Fall 2021 admission.,12678,0.763,0,1,0,0,0,1,1060.0,1220.0,20.0,25.0
303,Centre College,Centre College has adopted a three-year test optional policy for first year students beginning with the 2020-21 admission cycle. After a three-year pilot period Centre will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,2212,0.764,0,1,0,0,0,3,1130.0,1380.0,26.0,32.0
304,University of Texas San Antonio,University of Texas San Antonio has adopted a one-year test optional policy for first-year applicants entering through Spring 2022. However it still recommends submitting test scores as this can affect scholarship eligibility and admission into certain colleges or majors that require the SAT/ACT.,17122,0.7659999999999999,0,1,0,0,0,1,1030.0,1220.0,19.0,25.0
305,Ball State,Ball State University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students and students whose high schools do not provide grades are not eligible for test optional admission.,23305,0.767,0,1,0,0,0,100,,,,
306,James Madison University,James Madison University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,23578,0.768,0,1,0,0,0,100,1120.0,1290.0,23.0,28.0
307,Appalachian State University,Appalachian State has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,16664,0.768,0,1,0,0,0,1,1100.0,1270.0,22.0,28.0
308,Indiana University—​Bloomington,Indiana University--Bloomington offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students and students who attend schools with nontraditional grading systems are not eligible for test optional admission.,44169,0.769,0,1,0,0,0,100,1150.0,1360.0,24.0,31.0
309,High Point University,High Point University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However students seeking some merit scholarship or those who wish to be placed in the Honors Program need to submit test scores.,10098,0.769,0,1,0,0,0,100,1090.0,1250.0,22.0,27.0
310,Virginia Commonwealth University,Virginia Commonwealth University requires either the SAT or ACT. However they will waive the requirement for students with a 3.3+ GPA. Applicants who wish to qualify for merit scholarships homeschooled applicants applicants to the VCU Honors College College of Engineering or School of Education and non-native English speakers are not eligible for TO. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,18622,0.7709999999999999,0,0,0,0,1,100,1070.0,1260.0,21.0,28.0
311,University of Arkansas—​Fayetteville,The University of Arkansas requires either the SAT or the ACT. Fall 2021 applicants may apply test-optional with a 3.2+ GPA. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,17913,0.7709999999999999,0,0,0,0,1,1,1120.0,1300.0,23.0,30.0
312,John Brown University,John Brown University has adopted a one-year test optional policy for students entering in Fall 2021.,1094,0.7709999999999999,0,1,0,0,0,1,1060.0,1365.0,23.0,30.0
313,University of Idaho,University of Idaho has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,8071,0.778,0,1,0,0,0,1,1010.0,1240.0,20.0,27.0
314,University of Missouri,Mizzou has adopted a one-year test optional policy for students applying to the Fall 2021 term.,18948,0.778,0,1,0,0,0,1,1090.0,1290.0,23.0,29.0
315,Willamette University,Willamette University offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,3972,0.779,0,1,0,0,0,100,1140.0,1340.0,31.0,35.0
316,University of Nebraska—​Lincoln,The University of Nebraska-Lincoln requires either the SAT or the ACT. However it will waive this requriement for students with a 3.0+ GPA or who rank in the top half of their class. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,16829,0.782,0,0,0,0,1,100,1120.0,1360.0,22.0,28.0
317,Carroll College,Carroll College requires either the SAT or ACT however it will waive this requirement for students with a 3.0+ unweighted GPA. Students who are homeschooled wish to apply to Direct Entry Nursing or wish to participate in intercollegiate atheletics are not elligible for test optional admission. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,2709,0.7829999999999999,0,0,0,0,1,100,1070.0,1270.0,22.0,28.0
318,College of Charleston,The College of Charleston has adopted a one-year test optional policy for applicants in the 2020-21 admissions cycle. However home-schooled students are required to submit scores.,11783,0.7829999999999999,0,1,0,0,0,1,1080.0,1260.0,22.0,28.0
319,University of Colorado—​Boulder,University of Colorado--Boulder has adopted a one-year test optional policy for first-year students applying in the 2020-21 admission cycle.,40740,0.784,0,1,0,0,0,1,1140.0,1350.0,25.0,31.0
320,Elon University,Elon has adopted a three-year test optional policy for all first-year and transfer applicants beginning with the 2020-21 admission cycle. After a three-year period Elon will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,10500,0.784,0,1,0,0,0,3,1160.0,1320.0,25.0,30.0
321,Seattle University,Seattle University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled applicants are not elligible for test optional admission.,7968,0.785,0,1,0,0,0,100,1160.0,1330.0,24.0,30.0
322,University of Texas—​Dallas,University of Texas-Dallas has adopted a test optional policy for students applying for the Summer and Fall 2021 terms.,14327,0.7859999999999999,0,1,0,0,0,1,1240.0,1460.0,26.0,33.0
323,East Carolina,ECU has adopted a one-year test optional policy for students applying to the Spring and Fall 2021 semesters.,19234,0.787,0,1,0,0,0,1,1030.0,1190.0,19.0,24.0
324,University of Tennessee,The University of Tennessee has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle. However home-schooled students students attending a school not using alpha or numerical grades and student-athletes are not eligible for TO admission.,21764,0.7879999999999999,0,1,0,0,0,1,1150.0,1330.0,24.0,30.0
325,University of Texas Arlington,University of Texas Arlington has adopted a one-year test optional policy for first-year applicants entering in the Fall of 2021.,12335,0.795,0,1,0,0,0,1,1060.0,1260.0,20.0,26.0
326,Pacific Lutheran University,Pacific Lutheran University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However applicants from schools with written evaluations rather than grades and homeschooled students are not eligible for test optional admission. Applicants to the nursing program students interested in teaching and international applicants strongly encouraged to submit scores.,3740,0.7979999999999999,0,1,0,0,0,100,1070.0,1270.0,20.0,28.0
327,Western Michigan,WMU has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,17698,0.799,0,1,0,0,0,1,1000.0,1210.0,19.0,26.0
328,Loyola University Maryland,Loyola University Maryland offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,10077,0.802,0,1,0,0,0,100,1143.0,1320.0,25.0,30.0
329,Miami University—​Oxford,Miami University-Oxford has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,28920,0.804,0,1,0,0,0,1,1210.0,1410.0,26.0,31.0
330,Goucher College,Goucher College offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores.,3154,0.804,0,1,0,0,0,100,1040.0,1290.0,22.0,29.0
331,University of Oklahoma,University of Oklahoma has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,15673,0.804,0,1,0,0,0,1,1130.0,1310.0,23.0,29.0
332,Auburn University,Auburn University has adopted a one-year test optional policy however students who choose not to submit ACT/SAT scores must submit a graded writing assignment an expanded resume or an AP/IB score report.,20205,0.807,0,1,0,0,0,1,1150.0,1320.0,25.0,31.0
333,University of Nevada—​Las Vegas,UNLV requires either the SAT or ACT however they will waive the requirement for students with a 3.0+ GPA. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,12720,0.807,0,0,0,0,1,100,1030.0,1250.0,19.0,25.0
334,Boise State,Boise State has adopted a one-year test blind policy for students applying to the Spring and Fall 2021 semesters. However test scores are required for scholarship eligibility.,10788,0.8079999999999999,0,0,1,0,0,1,960.0,1180.0,21.0,26.0
335,St. Mary's College of California,St. Mary's offers a test optional policy which allows students to be considered for admission without test scores. However student-athletes homeschooled students and students attending schools that don't give grades must provide test scores.,6069,0.81,0,1,0,0,0,100,1070.0,1240.0,22.0,28.0
336,Siena College,Siena College offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores. However applicants must meet certain academic requirements to apply test optional. Additionally applicants to select programs are not eligible for test optional admission.,7728,0.8109999999999999,0,1,0,0,0,100,1070.0,1280.0,22.0,28.0
337,University of North Dakota,University of North Dakota has adopted a one-year test optional policy for first-year applicants both domestic and international entering through Fall 2022.,4964,0.8109999999999999,0,1,0,0,0,1,1010.0,1250.0,20.0,26.0
338,Texas State University,"Texas State University has adopted a one-year ""holistic review"" policy for applicants whose test dates have been affected by COVID-19 cancellations.",23583,0.8109999999999999,0,1,0,0,0,1,1010.0,1180.0,19.3,25.3
339,Colorado State University,Colorado State University has adopted a one-year test optional policy for first-year students applying in the 2020-21 admission cycle.,28319,0.8140000000000001,0,1,0,0,0,1,1070.0,1290.0,23.0,29.0
340,University of Memphis,UM has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,15381,0.8140000000000001,0,1,0,0,0,1,1010.0,1230.0,19.0,26.0
341,West Virginia University,WVU has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,18639,0.816,0,1,0,0,0,1,1050.0,1240.0,21.0,27.0
342,University of Oregon,The University of Oregon offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However applicants from nonaccredited schools and homeschooled students are not eligible for test optional admission and must submit two Subject Tests: Math I or II and a second one.,27358,0.816,0,1,0,0,0,100,1100.0,1310.0,22.0,28.0
343,University of St. Thomas (MN),The University of St. Thomas offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,6819,0.8190000000000001,0,1,0,0,0,100,1130.0,1380.0,24.0,29.0
344,St. Mary's College (IN),Saint Mary's College has a test optional policy which allows students to be considered for admission without submitting SAT or ACT scores. However homeschooled students and international students are not eligible for test optional admission.,1862,0.8190000000000001,0,1,0,0,0,100,1050.0,1260.0,22.0,28.0
345,Illinois State,Illinois State offers a test optional policy which allows students to be considered for admission without standardized test scores.,16151,0.8190000000000001,0,1,0,0,0,100,1020.0,1220.0,20.0,26.0
346,Ohio University,Ohio University has a test optional policy which allows students to be considered for admission without submitting SAT or ACT scores.,24179,0.821,0,1,0,0,0,100,1050.0,1260.0,21.0,26.0
347,California State University--Sacramento,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,27576,0.823,0,0,1,0,0,1,940.0,1140.0,16.0,22.0
348,University of North Carolina—​Greensboro,The UNC System has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,9972,0.8240000000000001,0,1,0,0,0,1,1000.0,1160.0,19.0,24.0
349,University of Iowa,University of Iowa has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,25928,0.826,0,1,0,0,0,1,1130.0,1340.0,22.0,29.0
350,St. Michael's College,St. Michael's College has a test-optional policy which allows students to be considered for admission without submitting SAT or ACT scores. However homeschooled applicants are not eligible for test optional admission.,4040,0.826,0,1,0,0,0,100,1140.0,1320.0,25.0,29.0
351,University of Alaska Anchorage,University of Alaska Anchorage offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,3673,0.83,0,1,0,0,0,100,1020.0,1220.0,17.0,24.0
352,Marquette University,Marquette University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores to both domestic and international applicants.,15078,0.83,0,1,0,0,0,100,1120.0,1320.0,24.0,29.0
353,College of St. Benedict,The College of Saint Benedict offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students students who attend schools with nontraditional grading systems and applicants to the Nursing Early Admission Program are not eligible for test optional admission.,1931,0.8340000000000001,0,1,0,0,0,100,990.0,1210.0,22.0,27.0
354,Oregon State University,Oregon State University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,15786,0.836,0,1,0,0,0,100,1080.0,1320.0,21.0,28.0
355,The Catholic University of America,The Catholic University of America has adopted a test blind policy which means they will not consider SAT or ACT scores for admission.,6096,0.8370000000000001,0,0,1,0,0,100,1140.0,1320.0,24.0,30.0
356,University of Puget Sound,Puget Sound offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However students who attend secondary schools that do not provide letter grades and homeschooled students are not eligible for test optional admission.,5182,0.838,0,1,0,0,0,100,1150.0,1370.0,25.0,30.0
357,University of New Hampshire,The University of New Hampshire offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However all Division 1 athletic recruits are required to submit standardized test scores.,18040,0.84,0,1,0,0,0,100,1070.0,1270.0,22.0,28.0
358,Missouri University of Science & Technology,Missouri S&T has adopted a one-year test optional policy for students applying to the Fall 2021 term. Students who apply without test scores will be required to submit additional information.,4333,0.8420000000000001,0,1,0,0,0,1,1180.0,1380.0,25.0,31.0
359,St. Mary's College of Maryland,Saint Mary's College of Maryland has a test-optional policy which allows students to be considered for admission without submitting SAT or ACT scores. However homeschooled applicants and applicants with non-traditional academic transcripts are not eligible for test optional admission.,1621,0.843,0,1,0,0,0,100,1060.0,1290.0,21.0,29.0
360,University of Arizona,University of Arizona offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However applicants to the UA Honors College the College of Fine Arts the College of Nursing the College of Architecture Planning and Landscape Architecture and College of Engineering and homeschooled students are not eligible for test optional admission.,40854,0.846,0,1,0,0,0,100,1120.0,1350.0,21.0,29.0
361,Susquehanna University,Susquehanna University offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores.,4863,0.848,0,1,0,0,0,100,1100.0,1290.0,22.0,28.0
362,Arizona State University—​Tempe,ASU requires either the SAT or ACT however it will waive this requirement for students with a 3.0+ GPA or who rank in the top 25% of their class. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,26869,0.848,0,0,0,0,1,100,1130.0,1360.0,22.0,29.0
