,school,policy_details,number_of_applicants,accept_rate,test_optional?_No,test_optional?_Yes,test_optional?_Yes (TB),test_optional?_Yes (TF),test_optional?_Yes*,years_applicable_from_2021,sat_25th_percentile,sat_75th_percentile,act_25th_percentile,act_75th_percentile
375,Weber State,Weber State University offers a test optional policy which allows first-year applicants to be considered for admission without SAT or ACT scores. However scores are recommended to help determine scholarship eligibility and Math & English placement.,6853,0.8909999999999999,0,1,0,0,0,100,,,18.0,24.0
376,University of Maine,University of Maine has adopted a two-year test optional policy for first-year and transfer applicants beginning with the 2020-21 admission cycle. After a two-year period UM will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,13118,0.902,0,1,0,0,0,2,1050.0,1260.0,21.0,27.0
377,Humboldt State University,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,16335,0.909,0,0,1,0,0,1,980.0,1190.0,17.0,25.0
378,Utah State,Utah State has adopted a one-year test optional policy for students applying to enroll in the 2021 terms.,15276,0.91,0,1,0,0,0,1,1050.0,1310.0,21.0,28.0
379,Iowa State University,Iowa State University has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,18246,0.9209999999999999,0,1,0,0,0,1,1100.0,1340.0,22.0,28.0
380,Washington College,Ursinus College has a test-optional policy which allows students to be considered for admissions without submitting SAT or ACT scores. However homeschooled applicants and internantional applicants are not eligible for test optional admission.,2225,0.924,0,1,0,0,0,100,1090.0,1300.0,20.0,29.0
381,University of Montana,University of Montana has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,6182,0.9259999999999999,0,1,0,0,0,1,1060.0,1270.0,21.0,26.0
382,Samford University,Samford University has adopted a one-year test optional policy for students applying to the Fall 2021 semester.,3912,0.929,0,1,0,0,0,1,1070.0,1250.0,23.0,29.0
383,University of Kansas,The University of Kansas requires either the SAT or the ACT. However they will waive the requirement for students with a 3.4+ GPA. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,15093,0.9309999999999999,0,0,0,0,1,100,,,23.0,29.0
384,University of Kentucky,The University of Kentucky has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,19324,0.945,0,1,0,0,0,1,1080.0,1300.0,23.0,29.0
385,University of Toledo,University of Toledo offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students and students whose high schools do not provide grades are not eligible for test optional admission.,10228,0.951,0,1,0,0,0,100,1000.0,1240.0,20.0,26.0
386,Kansas State University,Kansas State requires either the SAT or ACT. However they will waive the requirement for students with a 3.25+ GPA. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,8140,0.9570000000000001,0,0,0,0,1,100,,,22.0,28.0
387,Portland State,Portland State offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However students who attended homeschool or a non-accredited non-standard high school are required to submit test scores.,7821,0.961,0,1,0,0,0,100,1010.0,1230.0,18.0,25.0
388,Queens University of Charlotte,Queens University of Charlotte offers a test optional policy which allows students to be considered for admission without SAT or ACT scores though they encourage applicants to submit scores.,2319,0.9620000000000001,0,1,0,0,0,100,1040.0,1240.0,21.0,27.0
389,Western Kentucky,WKU offers a test optional policy for students with a 2.5+ GPA.,8245,0.973,0,0,0,0,1,100,990.0,1220.0,19.0,27.0
390,United States Naval Academy,USNA requires either the SAT or ACT. It does not require the optional SAT essay or ACT Writing Test. Subject Tests are not required.,16332,0.083,1,0,0,0,0,0,1240.0,1520.0,27.0,32.0
391,United States Military Academy,The US Military Academy requires either the SAT with Essay or ACT with Writing. Subject Tests are not required.,11675,0.10300000000000001,1,0,0,0,0,0,1160.0,1380.0,25.0,30.0
392,United States Air Force Academy,The United States Air Force Academy requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,10354,0.111,1,0,0,0,0,0,1230.0,1440.0,28.0,33.0
393,United States Coast Guard Academy,The United States Coast Guard Academy requires either the SAT with Essay or ACT with Writing. Subject Tests are not required.,2274,0.128,1,0,0,0,0,0,1245.0,1420.0,26.0,31.0
394,United States Merchant Maritime Academy,USMMA requires either the SAT or ACT. It does not require the optional SAT essay or ACT Writing Test. Subject Tests are not required.,1693,0.248,1,0,0,0,0,0,1200.0,1340.0,25.0,31.0
395,Howard University,Howard University requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,20946,0.316,1,0,0,0,0,0,1140.0,1285.0,22.0,27.0
396,Florida State University,Florida State University requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,58936,0.36,1,0,0,0,0,0,1200.0,1340.0,26.0,30.0
397,Hillsdale College,Hillsdale College requires either the SAT the ACT or the CLT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,2208,0.36,1,0,0,0,0,0,1275.0,1465.0,29.0,32.0
398,University of Central Florida,University of Central Florida requires either the SAT or ACT. It does not require the SAT Essay or ACT Writing Test. Subject Tests are not required.,35240,0.382,1,0,0,0,0,0,1160.0,1340.0,25.0,29.0
399,University of Florida,The University of Florida requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,38905,0.38799999999999996,1,0,0,0,0,0,1280.0,1440.0,27.0,32.0
400,University of South Florida,University of South Florida requries either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not considered.,36986,0.47700000000000004,1,0,0,0,0,0,1170.0,1330.0,25.0,29.0
401,Gallaudet University,Gallaudet University requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,496,0.5710000000000001,1,0,0,0,0,0,793.0,1078.0,15.0,20.0
402,Florida International,Florida International University requires either the SAT or ACT. It does not require the SAT Essay or ACT Writing Test. It does not consider SAT Subject Test scores.,18492,0.575,1,0,0,0,0,0,1240.0,1300.0,23.0,28.0
403,Morehouse College,Morehouse College requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,3554,0.579,1,0,0,0,0,0,1010.0,1210.0,20.0,25.0
404,University of Alabama,University of Alabama requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,37302,0.591,1,0,0,0,0,0,1060.0,1280.0,23.0,31.0
405,Milwaukee School of Engineering,The Milwaukee School of Engineering requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,3552,0.617,1,0,0,0,0,0,,,25.0,30.0
406,Florida Institute of Technology,Florida Institute of Technology requires either the SAT or ACT. It generally does not require the optional SAT Essay or ACT Writing Test but it may be required for some applicants. Subject Tests are not required however the Math II Chemistry Physics and Literature Subject Tests are recommended for homeschooled applicants.,9743,0.657,1,0,0,0,0,0,1150.0,1360.0,24.0,30.0
407,Louisiana State University—​Baton Rouge,Louisiana State University requires either the SAT or the ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,24501,0.746,1,0,0,0,0,0,1080.0,1310.0,23.0,29.0
408,The Citadel,The Citadel requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,2742,0.747,1,0,0,0,0,0,1050.0,1230.0,20.0,25.0
409,New College of Florida,The New College of Florida requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,1340,0.768,1,0,0,0,0,0,1220.0,1420.0,26.0,31.0
410,Thomas Aquinas College,Thomas Aquinas College requires requires that applicants take the SAT the ACT or the Classic Learning Test. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required. Thomas Aquinas College does not offer merit-based aid.,211,0.777,1,0,0,0,0,0,1220.0,1400.0,25.0,30.0
411,University of Texas Rio Grande Valley,University of Texas Rio Grande Valley requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,10680,0.7979999999999999,1,0,0,0,0,0,950.0,1130.0,17.0,22.0
412,University of South Dakota,Unviersity of South Dakota requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,4434,0.8640000000000001,1,0,0,0,0,0,990.0,1180.0,19.0,25.0
413,University of Mississippi,Ole Miss requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,15371,0.8809999999999999,1,0,0,0,0,0,1050.0,1270.0,21.0,29.0
414,University of Wyoming,University of Wyoming requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,5348,0.96,1,0,0,0,0,0,1060.0,1280.0,22.0,28.0
415,University of Texas El Paso,UTEP requires either the SAT or ACT. It does not require the optional SAT Essay or ACT Writing Test. It does not superscore.,7157,0.9990000000000001,1,0,0,0,0,0,820.0,1050.0,17.0,23.0
